lat,lon,time,brightness
-33.924356918525916,18.419513507360257,0.0,45.60443160445602
-33.92435691871284,18.419513507567686,1.0,46.27557894483024
-33.92435692276019,18.41951351205901,2.0,46.28422821421682
-33.92435692195599,18.419513542226582,3.0,46.05226996527778
-33.92435680960327,18.41951364246425,4.0,45.015995973186726
-33.924356342451965,18.41951395049667,5.0,44.71992398485725
-33.92435487555314,18.41951526725006,6.0,43.372141203703706
-33.92435176021658,18.419518237134593,7.0,43.47525215808256
-33.92434751494843,18.419524861793136,8.0,46.04636447482639
-33.92434124748724,18.419535362275166,9.0,45.74323398919753
-33.92433456310536,18.419549169540904,10.0,44.30877947771991
-33.924327093202535,18.419564977249912,11.0,43.17158028308256
-33.92432209684846,18.419583092844373,12.0,42.86013400607639
-33.92431772067855,18.419601480786557,13.0,43.173328149112656
-33.924312558028895,18.41961952388734,14.0,43.12239330150463
-33.92430679842626,18.419635446160402,15.0,43.07692358699845
-33.924300500101964,18.419649803339723,16.0,44.04064712336034
-33.9242947205603,18.419663094487724,17.0,44.96137050298997
-33.924289313476955,18.41967393924962,18.0,44.100327208719136
-33.92428356549235,18.419682522212703,19.0,45.03269507137345
-33.924278013519505,18.4196907778185,20.0,45.453229468074845
-33.92427219870992,18.419698084577732,21.0,46.06785614390432
-33.92426430556353,18.419696760748987,22.0,47.20869743441358
-33.92425646336796,18.419696058075452,23.0,45.968678686824845
-33.92424939116213,18.419696196955503,24.0,46.3376407576196
-33.924240975326555,18.41969858008224,25.0,46.18917468412423
-33.924231799490656,18.419699836172917,26.0,43.980704511477626
-33.92422310214701,18.419700699378122,27.0,43.199931218653546
-33.924214510360414,18.419702110289442,28.0,44.303174008969904
-33.92420687632084,18.41970588350897,29.0,45.5277335310571
-33.92420094150934,18.419710532844693,30.0,47.2454929832176
-33.92419436720529,18.419715435688946,31.0,46.13311583719136
-33.924187189635816,18.41971916947789,32.0,47.58161868248457
-33.924180007631556,18.419722262139395,33.0,48.4665998746142
-33.92417186360616,18.419725296375624,34.0,49.18584852430556
-33.924164778690994,18.419729138356704,35.0,48.98363275221836
-33.924157519490144,18.41973419423079,36.0,49.42429705584491
-33.92414997269676,18.41974110075366,37.0,47.81260959201389
-33.92414325599056,18.419749033903297,38.0,46.982160976080245
-33.92413653202713,18.419756077979162,39.0,47.21509379822531
-33.92412967277608,18.41976166212909,40.0,47.99974729938272
-33.924121556498775,18.419766494552434,41.0,49.23747438030478
-33.924113152190145,18.419771255004907,42.0,49.97767578125
-33.92410230880615,18.41977826490043,43.0,50.84216001157407
-33.92409118838206,18.419784140611096,44.0,50.21892795138889
-33.92407863591142,18.419787804838364,45.0,51.324054663387344
-33.924065066433734,18.419788969322127,46.0,50.49440930025077
-33.924050774097836,18.419788802376573,47.0,49.279617874710645
-33.92403514357809,18.41978738481666,48.0,46.64919313030478
-33.924019803890644,18.41978801492916,49.0,44.68253888165509
-33.924005557135175,18.419787988138058,50.0,44.95239866657022
-33.92399200787378,18.41978726240259,51.0,45.72205916039738
-33.92397924064592,18.419787185601226,52.0,44.08973132474923
-33.92396598349126,18.419789542600693,53.0,44.38284511236497
-33.9239533263461,18.419793147680693,54.0,43.56046501253858
-33.923942840647264,18.41979994018087,55.0,40.98192105516976
-33.923913180888356,18.419817727940075,56.0,37.95390438126929
-33.92388674224041,18.419833962905074,57.0,36.85495044849537
-33.92386431767586,18.419847838056096,58.0,37.976644181616514
-33.92384524197986,18.41985908587504,59.0,37.843731131848
-33.92383193898683,18.41986776722184,60.0,36.06253176842207
-33.92382366342005,18.419876299604073,61.0,33.09206645447531
-33.92381815663436,18.41988567531518,62.0,31.187700074749227
-33.92381336355678,18.419897302856757,63.0,31.14615794994213
-33.9238093439867,18.41991110583582,64.0,31.308220546392747
-33.92380594087665,18.41992551657219,65.0,30.77576907310957
-33.923803234450006,18.419940534638414,66.0,32.607908408082565
-33.92380075279607,18.419953947381938,67.0,33.29010929060571
-33.92379719951503,18.419967298666364,68.0,31.679484230324075
-33.92379328707806,18.41998169522428,69.0,29.226633994020062
-33.923789305745615,18.419996885469093,70.0,27.65824502073688
-33.92378490962562,18.420011045085356,71.0,27.41679301697531
-33.92378061070189,18.420024697425387,72.0,28.126081814236112
-33.9237757516608,18.420038923549008,73.0,29.74067931375386
-33.923771041315725,18.420053242915753,74.0,31.373092568479937
-33.92376477111571,18.420065431980507,75.0,32.43966983748071
-33.92375705089666,18.420076289525273,76.0,34.25119954427083
-33.923749004128,18.42008700318911,77.0,34.5687149763696
-33.923740673076836,18.420098732113296,78.0,34.348443588445214
-33.92373259756454,18.42011026971135,79.0,32.84902970679013
-33.9237243278853,18.420122543100277,80.0,33.4152555941358
-33.92371210528367,18.420128670557247,81.0,34.967347366898146
-33.92370096369027,18.42013734339381,82.0,38.14103931568287
-33.92369195658389,18.420149215428225,83.0,39.998705632716046
-33.923684787272805,18.42016377478504,84.0,38.47522177613812
-33.92367990581932,18.420181136127344,85.0,38.09031659915124
-33.92367651810335,18.420201075169,86.0,38.291406491126544
-33.923674592805526,18.420222613147676,87.0,38.83530243296682
-33.923671674957234,18.420242289841898,88.0,41.43159975405093
-33.923665895198155,18.420257673125334,89.0,44.52259862075617
-33.923661706519674,18.420274711881998,90.0,45.45836697048611
-33.923657162639316,18.42029175201796,91.0,46.35442732445988
-33.9236485558679,18.420303666156563,92.0,45.25442726417824
-33.92363841861973,18.420312536303022,93.0,42.70196463879244
-33.92362822909276,18.420321870368266,94.0,38.600325038580245
-33.92361716775696,18.420330657979232,95.0,35.858680073302466
-33.92360540547611,18.42033892538466,96.0,34.210936294367286
-33.92358741308592,18.42033979498787,97.0,33.68875385802469
-33.923563388874136,18.42033318899855,98.0,33.921695842978394
-33.923535602542294,18.420321659550698,99.0,34.221498420621145
-33.92350783088699,18.4203099610115,100.0,34.920101453993055
-33.92348419872781,18.420302217184748,101.0,34.47083966290509
-33.92346278887723,18.42029615404647,102.0,30.828838252314814
-33.92344382758747,18.420294495614097,103.0,29.08869857976466
-33.92342740299169,18.42029687175548,104.0,28.694517204378855
-33.923413356600804,18.420301854087217,105.0,30.03541732976466
-33.92340143750089,18.42030933068695,106.0,33.24259379822531
-33.92339155909927,18.420319846500742,107.0,37.46654501832562
-33.9233840098771,18.420332908136423,108.0,39.99318654755015
-33.92337882538053,18.42034868618903,109.0,44.31053777247299
-33.923374888285025,18.420366556738685,110.0,46.69655568817515
-33.92337208560673,18.420385500789674,111.0,50.028291678722994
-33.9233715270608,18.42040467005191,112.0,51.152287507233794
-33.92337207722526,18.42042604581392,113.0,55.632104311342594
-33.92337261237074,18.420448330082973,114.0,52.74256986641589
-33.92337226888616,18.420468271611536,115.0,46.46892511815201
-33.92336938546588,18.42048609387539,116.0,41.46156388647762
-33.92336432801015,18.42050076738746,117.0,41.69172688802083
-33.92335734743536,18.42051383178946,118.0,39.83711437837577
-33.92334838322782,18.420526258881782,119.0,39.08230914834105
-33.92333905908499,18.420539132428516,120.0,39.08204704378858
-33.92332960676263,18.42055274075365,121.0,38.81907540027006
-33.92331965216275,18.420565482771806,122.0,38.4714901017554
-33.923309040807894,18.420577103295305,123.0,38.70841706452546
-33.92329811693672,18.42058792793375,124.0,40.244183364679785
-33.923287115791396,18.420598050720184,125.0,44.13940972222223
-33.92327555440335,18.42060698070546,126.0,46.40232138551312
-33.923263178617376,18.42061477716937,127.0,47.80304729697145
-33.92325120717508,18.4206223441365,128.0,45.40736201533565
-33.92323931689727,18.420629857765263,129.0,42.58897756317516
-33.923227339946024,18.420635803716888,130.0,42.44158932532793
-33.92321515495571,18.420641231237074,131.0,43.44481650270062
-33.92320234994052,18.420645739671833,132.0,43.37395550009645
-33.9231889931161,18.420650045092856,133.0,41.178322422357255
-33.92317326158193,18.42065186753538,134.0,39.33795964747299
-33.923155044552544,18.42065016046897,135.0,37.7779035855517
-33.923135556582984,18.420646455261586,136.0,38.968068757233794
-33.92311592344842,18.420643342708093,137.0,42.16961178626544
-33.92309718030024,18.42064140425344,138.0,42.37300998263889
-33.92307996109104,18.420641744531842,139.0,43.89774028260031
-33.92306324785285,18.42064289695378,140.0,41.95358639564044
-33.92304772959433,18.42064462905457,141.0,41.8985971257716
-33.9230332102343,18.420647512547568,142.0,42.958749698591824
-33.92302076480386,18.42065328846949,143.0,44.59512725453318
-33.923008986900136,18.420660613910535,144.0,44.585841893325615
-33.92299764226385,18.4206689321993,145.0,40.75492892795139
-33.92298652281742,18.42067820386029,146.0,38.47245762201003
-33.922976944180846,18.420689765224825,147.0,35.727941683545524
-33.922967676282475,18.420702009890263,148.0,35.19244845920139
-33.922958493589455,18.420714756095197,149.0,35.65903525270062
-33.92294954978052,18.420728536847665,150.0,37.74222294560185
-33.92294037244276,18.420742983723116,151.0,39.95568630642361
-33.92293238150302,18.420756111897035,152.0,42.51898678626543
-33.9229250472439,18.42077022810258,153.0,46.21063464506173
-33.92291704702713,18.420783668147767,154.0,45.43411584924768
-33.92290933318105,18.42079603674952,155.0,45.74620683834876
-33.92290250418655,18.420807768930786,156.0,46.64889793113426
-33.9228964426079,18.420819932228106,157.0,43.28429235387731
